method,case_id,expected_classification,actual_classification,api,zig_exe,zig_version,zig_cc_version,compiler_target,c_mode,compile_flags,link_flags,compile_exit_code,python_exe,python_version,platform,stdc_version,char_bit,sizeof_char,sizeof_float,sizeof_double,sizeof_long_double,sizeof_void_p,sizeof_size_t,flt_radix,flt_mant_dig,dbl_mant_dig,ldbl_mant_dig,decimal_dig,dbl_decimal_dig,dbl_min,dbl_max,input_text,input_length,locale_name,locale_radix,returned_value,returned_category,endptr_offset,characters_consumed,remaining_suffix,complete_consumption,errno_before,errno_after,range_error,isfinite,isnan,isinf,signbit,fpclassify,policy_name,policy_min,policy_max,policy_accepted,accepted_value,rejection_reason,token_offsets,separator_offsets,parsed_vector,parsed_count,format_precision,formatted_text,snprintf_ret,buffer_capacity,truncation_status,bytewise_roundtrip_equal,stable_input_hash,stable_output_hash,model_loaded,dataset_read,prediction_calculated,threaded_operation,elapsed_time,sanitization_applied,skip_reason,failure_reason,narrow_conclusion
inspect_toolchain,zig_compiler_marker,pass,pass,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,zig_compiler_marker
exercise_strtod,zig_compiler_marker,not_applicable,not_applicable,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,zig_compiler_marker
check_parse_policy,zig_compiler_marker,not_applicable,not_applicable,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,zig_compiler_marker
enumerate_ml_input_model,zig_compiler_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,zig_compiler_marker
ml_context_observation,zig_compiler_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,zig_compiler_marker
inspect_toolchain,c_numeric_api_marker,pass,pass,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,c_numeric_api_marker
exercise_strtod,c_numeric_api_marker,not_applicable,not_applicable,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,c_numeric_api_marker
check_parse_policy,c_numeric_api_marker,not_applicable,not_applicable,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,c_numeric_api_marker
enumerate_ml_input_model,c_numeric_api_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,c_numeric_api_marker
ml_context_observation,c_numeric_api_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,,,C,.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,c_numeric_api_marker
